Freq,re(FFT),im(FFT),input,re(signal)
00.00,+0.00002,+0.00362,-5.00000,+0.66605
00.10,+0.00002,-0.00362,-4.99000,+0.84307
00.20,-0.00003,+0.00362,-4.98000,+0.96013
00.30,+0.00007,-0.00362,-4.97000,+0.99998
00.40,-0.00008,+0.00361,-4.96000,+0.95667
00.50,+0.00011,-0.00362,-4.95000,+0.83664
00.60,-0.00013,+0.00361,-4.94000,+0.65761
00.70,+0.00016,-0.00362,-4.93000,+0.44540
00.80,-0.00018,+0.00361,-4.92000,+0.22948
00.90,+0.00021,-0.00362,-4.91000,+0.03793
01.00,-0.00023,+0.00361,-4.90000,-0.10710
01.10,+0.00025,-0.00362,-4.89000,-0.19277
01.20,-0.00028,+0.00360,-4.88000,-0.21705
01.30,+0.00030,-0.00361,-4.87000,-0.18815
01.40,-0.00032,+0.00360,-4.86000,-0.12217
01.50,+0.00035,-0.00361,-4.85000,-0.03945
01.60,-0.00038,+0.00360,-4.84000,+0.03956
01.70,+0.00039,-0.00361,-4.83000,+0.09822
01.80,-0.00042,+0.00359,-4.82000,+0.12639
01.90,+0.00044,-0.00361,-4.81000,+0.12172
02.00,-0.00047,+0.00359,-4.80000,+0.08926
02.10,+0.00049,-0.00360,-4.79000,+0.03955
02.20,-0.00052,+0.00358,-4.78000,-0.01421
02.30,+0.00053,-0.00359,-4.77000,-0.05926
02.40,-0.00057,+0.00357,-4.76000,-0.08606
02.50,+0.00058,-0.00359,-4.75000,-0.09010
02.60,-0.00062,+0.00357,-4.74000,-0.07247
02.70,+0.00063,-0.00358,-4.73000,-0.03913
02.80,-0.00066,+0.00356,-4.72000,+0.00084
02.90,+0.00068,-0.00358,-4.71000,+0.03754
03.00,-0.00071,+0.00356,-4.70000,+0.06258
03.10,+0.00073,-0.00357,-4.69000,+0.07090
03.20,-0.00076,+0.00355,-4.68000,+0.06171
03.30,+0.00078,-0.00356,-4.67000,+0.03838
03.40,-0.00081,+0.00354,-4.66000,+0.00736
03.50,+0.00082,-0.00356,-4.65000,-0.02348
03.60,-0.00086,+0.00353,-4.64000,-0.04683
03.70,+0.00087,-0.00355,-4.63000,-0.05755
03.80,-0.00090,+0.00352,-4.62000,-0.05384
03.90,+0.00092,-0.00354,-4.61000,-0.03738
04.00,-0.00095,+0.00351,-4.60000,-0.01281
04.10,+0.00096,-0.00353,-4.59000,+0.01355
04.20,-0.00100,+0.00350,-4.58000,+0.03529
04.30,+0.00101,-0.00352,-4.57000,+0.04744
04.40,-0.00105,+0.00349,-4.56000,+0.04754
04.50,+0.00106,-0.00351,-4.55000,+0.03616
04.60,-0.00110,+0.00348,-4.54000,+0.01657
04.70,+0.00110,-0.00350,-4.53000,-0.00614
04.80,-0.00115,+0.00347,-4.52000,-0.02635
